Date,Time,open,high,low,close,BuyPrice,SellPrice,ema5,Long_Call_Entry,Long Call Entry Point,short_put_entry,Short Put Entry Point,Call Or Put Status,round off values
2022-10-20,13:40:00,17461.95,17563.1,17452.85,17553.6,17461.0,17462.0,17563.38810042978,False,,True,Enter the short put trade at - 17553.6,Buy Put and Sell Call at ,17600.0
2022-10-20,13:45:00,17454.4,17567.6,17454.4,17566.6,17454.45,17456.8,17564.458733620075,True,Enter the Long Call trade at - 17566.6,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,13:50:00,17465.0,17565.5,17454.05,17558.35,17465.0,17466.0,17562.422489079767,False,,True,Enter the short put trade at - 17558.35,Buy Put and Sell Call at ,17600.0
2022-10-20,13:55:00,17456.45,17561.2,17447.5,17457.25,17456.0,17457.05,17527.364992716626,False,,True,Enter the short put trade at - 17457.25,Buy Put and Sell Call at ,17500.0
2022-10-20,14:00:00,17457.25,17563.5,17442.85,17561.35,17456.7,17457.7,17538.693328478443,True,Enter the Long Call trade at - 17561.35,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,14:05:00,17463.6,17574.85,17461.6,17572.8,17463.3,17464.35,17550.06221898609,True,Enter the Long Call trade at - 17572.8,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,14:10:00,17470.7,17582.0,17468.05,17580.6,17470.2,17472.45,17560.241479324337,True,Enter the Long Call trade at - 17580.6,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,14:15:00,17484.95,17589.2,17480.0,17587.75,17482.5,17484.5,17569.410986216393,True,Enter the Long Call trade at - 17587.75,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,14:20:00,17487.6,17591.0,17481.0,17584.15,17487.85,17489.8,17574.32399081099,True,Enter the Long Call trade at - 17584.15,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,14:25:00,17485.65,17585.15,17471.7,17580.0,17483.6,17485.65,17576.215993874008,True,Enter the Long Call trade at - 17580.0,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,14:30:00,17480.1,17604.25,17480.0,17601.35,17480.0,17482.0,17584.59399591605,True,Enter the Long Call trade at - 17601.35,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,14:35:00,17504.2,17625.0,17501.4,17625.0,17502.0,17504.1,17598.062663944085,True,Enter the Long Call trade at - 17625.0,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,14:40:00,17531.0,17633.1,17512.75,17614.8,17529.6,17531.0,17603.641775962737,True,Enter the Long Call trade at - 17614.8,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,14:45:00,17513.85,17619.6,17507.7,17609.15,17514.3,17515.25,17605.47785064183,True,Enter the Long Call trade at - 17609.15,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,14:50:00,17509.9,17609.15,17502.95,17603.65,17509.0,17509.2,17604.868567094552,False,,True,Enter the short put trade at - 17603.65,Buy Put and Sell Call at ,17600.0
2022-10-20,14:55:00,17546.2,17614.15,17501.3,17610.1,17546.2,17546.25,17606.612378063037,True,Enter the Long Call trade at - 17610.1,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,15:00:00,17509.5,17625.0,17503.4,17623.65,17508.85,17509.85,17612.291585375362,True,Enter the Long Call trade at - 17623.65,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,15:05:00,17524.35,17629.95,17521.6,17570.75,17524.35,17526.0,17598.44439025024,False,,True,Enter the short put trade at - 17570.75,Buy Put and Sell Call at ,17600.0
2022-10-20,15:10:00,17528.45,17630.1,17520.2,17574.95,17528.45,17529.95,17590.612926833488,False,,True,Enter the short put trade at - 17574.95,Buy Put and Sell Call at ,17600.0
2022-10-20,15:15:00,17535.0,17651.95,17533.85,17590.5,17534.95,17535.0,17590.57528455566,False,,True,Enter the short put trade at - 17590.5,Buy Put and Sell Call at ,17600.0
2022-10-20,15:20:00,17552.45,17649.6,17545.5,17646.9,17552.3,17552.45,17609.350189703775,True,Enter the Long Call trade at - 17646.9,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,15:25:00,17548.8,17649.95,17544.75,17645.0,17548.7,17550.0,17621.23345980252,True,Enter the Long Call trade at - 17645.0,False,,Buy Call and Sell Put at ,17600.0
2022-10-20,15:30:00,17544.9,17645.0,17544.9,17586.0,17544.8,17550.05,17609.488973201678,False,,True,Enter the short put trade at - 17586.0,Buy Put and Sell Call at ,17600.0
